policy_name,coverage_term,annual_premium,provider,sum_assured,critical_illness,type,age_until,gender,smoker,age,most_notable_5,market_share_top,local_companies,provide_ci,provide_hospital_ins,entered_sg
DIRECT - Etiqa term life,34,79,Etiqa Insurance Pte. Ltd.,100000,0,term,65,m,0,31,0,0,0,1,0,2007
DIRECT- TM Basic Term (Level),34,98,Tokio Marine Life Insurance Singapore Ltd,100000,0,term,65,m,0,31,0,0,0,1,0,1923
DIRECT - Term,34,112,China Taiping Insurance (Singapore) Pte. Ltd.,100000,0,term,65,m,0,31,0,0,0,1,0,2003
DIRECT - Term Life,34,117,FWD SINGAPORE PTE. LTD.,100000,0,term,65,m,0,31,0,0,0,1,0,2016
DIRECT - China Life Term Plan,34,118,China Life Insurance (Singapore) Pte. Ltd.,100000,0,term,65,m,0,31,0,0,0,1,0,2015
DIRECT - AIA Term Cover,35,119,AIA Singapore,100000,0,term,65,m,0,31,1,1,0,1,1,1931
DIRECT - PRUprotect term @ 65,34,119,Prudential Assurance Company Singapore (Pte) Limited,100000,0,term,65,m,0,31,1,1,0,1,1,1931
DIRECT - Great Term,34,121,Great Eastern Life,100000,0,term,65,m,0,31,1,1,1,1,1,1908
Direct-LICS New Secure Future Term Plan,34,126,LIC (Singapore) Pte Ltd,100000,0,term,65,m,0,31,0,0,0,0,0,2013
DIRECT Star Term (non-renewable),34,127,Income Insurance Limited,100000,0,term,65,m,0,31,1,1,1,1,1,1970
DIRECT - HSBC Life - Term Lite,35,133,HSBC Life (Singapore) Pte. Ltd.,100000,0,term,65,m,0,31,0,1,0,1,1,2022
DIRECT - Singlife Term Life,34,134,Singapore Life Ltd.,100000,0,term,65,m,0,31,0,1,1,1,1,2022
DIRECT- ManuAssure Term,35,156,Manulife (Singapore) Pte. Ltd.,100000,0,term,65,m,0,31,1,1,0,1,0,1899
DIRECT - Etiqa term life,34,69,Etiqa Insurance Pte. Ltd.,100000,0,term,65,f,0,31,0,0,0,1,0,2007
DIRECT - Term,34,80,China Taiping Insurance (Singapore) Pte. Ltd.,100000,0,term,65,f,0,31,0,0,0,1,0,2003
DIRECT - Term Life,34,85,FWD SINGAPORE PTE. LTD.,100000,0,term,65,f,0,31,0,0,0,1,0,2016
DIRECT - Great Term,34,86,Great Eastern Life,100000,0,term,65,f,0,31,1,1,1,1,1,1908
DIRECT - PRUprotect term @ 65,34,88,Prudential Assurance Company Singapore (Pte) Limited,100000,0,term,65,f,0,31,1,1,0,1,1,1931
